year,globalaveragetemp,cityaveragetemp
1750,8.72,8.34
1751,7.98,8.84
1752,5.78,1.64
1753,8.39,7.87
1754,8.47,8.15
1755,8.36,5.12
1756,8.85,8.59
1757,9.02,7.29
1758,6.74,6.47
1759,7.99,7.39
1760,7.19,5.97
1761,8.77,8.36
1762,8.61,7.85
1763,7.50,5.54
1764,8.40,8.03
1765,8.25,7.37
1766,8.41,8.38
1767,8.22,6.97
1768,6.78,6.89
1769,7.69,7.54
1770,7.69,7.44
1771,7.85,8.41
1772,8.19,8.05
1773,8.22,8.34
1774,8.77,7.86
1775,9.18,8.73
1776,8.30,7.84
1777,8.26,7.32
1778,8.54,5.54
1779,8.98,8.25
1780,9.43,10.54
1781,8.10,8.07
1782,7.90,7.51
1783,7.68,7.22
1784,7.86,7.00
1785,7.36,6.94
1786,8.26,7.46
1787,8.03,7.47
1788,8.45,8.12
1789,8.33,7.82
1790,7.98,7.75
1791,8.23,7.84
1792,8.09,7.26
1793,8.23,8.13
1794,8.53,8.16
1795,8.35,7.71
1796,8.27,7.56
1797,8.51,7.33
1798,8.67,8.18
1799,8.51,7.76
1800,8.48,7.92
1801,8.59,8.31
1802,8.58,8.56
1803,8.50,8.37
1804,8.84,8.15
1805,8.56,8.62
1806,8.43,7.82
1807,8.28,7.61
1808,7.63,7.79
1809,7.08,7.03
1810,6.92,7.37
1811,6.86,7.49
1812,7.05,6.13
1813,7.74,7.41
1814,7.59,7.24
1815,7.24,6.65
1816,6.94,6.16
1817,6.98,6.25
1818,7.83,6.90
1819,7.37,7.21
1820,7.62,7.22
1821,8.09,6.91
1822,8.19,7.88
1823,7.72,7.11
1824,8.55,7.55
1825,8.39,8.59
1826,8.36,8.37
1827,8.81,8.21
1828,8.17,9.08
1829,7.94,7.63
1830,8.52,8.47
1831,7.64,7.00
1832,7.45,8.07
1833,8.01,8.06
1834,8.15,8.36
1835,7.39,7.43
1836,7.70,6.42
1837,7.38,7.16
1838,7.51,6.71
1839,7.63,7.74
1840,7.80,8.05
1841,7.69,7.46
1842,8.02,7.97
1843,8.17,7.00
1844,7.65,8.13
1845,7.85,8.17
1846,8.55,8.58
1847,8.09,7.28
1848,7.98,7.86
1849,7.98,7.43
1850,7.90,7.65
1851,8.18,7.73
1852,8.10,7.46
1853,8.04,8.05
1854,8.21,8.31
1855,8.11,7.39
1856,8.00,6.35
1857,7.76,6.74
1858,8.10,8.16
1859,8.25,7.80
1860,7.96,7.72
1861,7.85,7.69
1862,7.56,7.48
1863,8.11,7.51
1864,7.98,7.46
1865,8.18,7.89
1866,8.29,6.93
1867,8.44,7.17
1868,8.25,6.68
1869,8.43,6.81
1870,8.20,8.33
1871,8.12,7.56
1872,8.19,6.78
1873,8.35,6.92
1874,8.43,7.84
1875,7.86,5.69
1876,8.08,7.48
1877,8.54,8.48
1878,8.83,8.94
1879,8.17,7.68
1880,8.12,8.45
1881,8.27,8.45
1882,8.13,8.06
1883,7.98,6.50
1884,7.77,7.46
1885,7.92,6.04
1886,7.95,7.25
1887,7.91,7.59
1888,8.09,6.68
1889,8.32,7.97
1890,7.97,8.06
1891,8.02,8.30
1892,8.07,7.43
1893,8.06,7.01
1894,8.16,8.65
1895,8.15,7.08
1896,8.21,7.99
1897,8.29,7.95
1898,8.18,8.66
1899,8.40,8.04
1900,8.50,8.53
1901,8.54,7.67
1902,8.30,7.76
1903,8.22,7.74
1904,8.09,6.22
1905,8.23,7.34
1906,8.38,8.38
1907,7.95,6.92
1908,8.19,8.30
1909,8.18,7.92
1910,8.22,7.73
1911,8.18,8.62
1912,8.17,7.01
1913,8.30,8.59
1914,8.59,7.65
1915,8.59,7.85
1916,8.23,7.75
1917,8.02,5.96
1918,8.13,7.80
1919,8.38,8.66
1920,8.36,7.43
1921,8.57,9.75
1922,8.41,8.62
1923,8.42,7.74
1924,8.51,6.79
1925,8.53,7.70
1926,8.73,6.77
1927,8.52,8.27
1928,8.63,7.97
1929,8.24,7.60
1930,8.63,8.45
1931,8.72,9.59
1932,8.71,8.66
1933,8.34,8.93
1934,8.63,7.90
1935,8.52,7.72
1936,8.55,7.82
1937,8.70,8.15
1938,8.86,8.96
1939,8.76,8.58
1940,8.76,7.16
1941,8.77,9.00
1942,8.73,8.33
1943,8.76,7.51
1944,8.85,8.50
1945,8.58,7.91
1946,8.68,9.07
1947,8.80,8.21
1948,8.75,8.27
1949,8.59,9.52
1950,8.37,7.67
1951,8.63,8.15
1952,8.64,8.94
1953,8.87,9.39
1954,8.56,8.55
1955,8.63,9.06
1956,8.28,8.12
1957,8.73,8.41
1958,8.77,7.60
1959,8.73,8.66
1960,8.58,7.92
1961,8.80,8.41
1962,8.75,7.88
1963,8.86,7.46
1964,8.41,8.50
1965,8.53,7.90
1966,8.60,7.93
1967,8.70,7.84
1968,8.52,8.11
1969,8.60,8.11
1970,8.70,8.29
1971,8.60,8.52
1972,8.50,7.55
1973,8.95,9.30
1974,8.47,8.09
1975,8.74,8.80
1976,8.35,7.51
1977,8.85,8.17
1978,8.69,7.20
1979,8.73,7.75
1980,8.98,7.61
1981,9.17,8.12
1982,8.64,8.13
1983,9.03,8.81
1984,8.69,8.37
1985,8.66,8.37
1986,8.83,8.59
1987,8.99,9.35
1988,9.20,8.58
1989,8.92,7.84
1990,9.23,9.48
1991,9.18,9.72
1992,8.84,8.05
1993,8.87,8.11
1994,9.04,8.11
1995,9.35,8.52
1996,9.04,7.85
1997,9.20,8.09
1998,9.52,10.60
1999,9.29,9.53
2000,9.20,8.67
2001,9.41,9.63
2002,9.57,9.45
2003,9.53,8.12
2004,9.32,8.63
2005,9.70,9.05
2006,9.53,9.83
2007,9.73,9.14
2008,9.43,8.61
2009,9.51,8.38
2010,9.70,9.47
2011,9.52,9.32
2012,9.51,10.51
2013,9.61,10.11
1750,8.72,10.25
1751,7.98,9.99
1752,5.78,6.54
1753,8.39,9.42
1754,8.47,9.20
1755,8.36,8.95
1756,8.85,9.42
1757,9.02,9.34
1758,6.74,8.85
1759,7.99,9.80
1760,7.19,9.26
1761,8.77,9.69
1762,8.61,8.99
1763,7.50,8.75
1764,8.40,9.14
1765,8.25,8.95
1766,8.41,9.07
1767,8.22,8.98
1768,6.78,9.12
1769,7.69,9.04
1770,7.69,9.03
1771,7.85,8.78
1772,8.19,9.36
1773,8.22,9.33
1774,8.77,9.10
1775,9.18,10.10
1776,8.30,9.21
1777,8.26,9.25
1778,8.54,9.80
1779,8.98,10.76
1780,9.43,9.67
1781,8.10,10.41
1782,7.90,8.44
1783,7.68,9.97
1784,7.86,8.29
1785,7.36,8.54
1786,8.26,8.35
1787,8.03,9.53
1788,8.45,9.39
1789,8.33,9.12
1790,7.98,9.67
1791,8.23,9.59
1792,8.09,9.56
1793,8.23,9.59
1794,8.53,10.00
1795,8.35,9.19
1796,8.27,9.50
1797,8.51,9.62
1798,8.67,9.83
1799,8.51,7.94
1800,8.48,9.32
1801,8.59,9.68
1802,8.58,9.31
1803,8.50,8.79
1804,8.84,9.37
1805,8.56,8.56
1806,8.43,9.87
1807,8.28,9.03
1808,7.63,8.91
1809,7.08,8.99
1810,6.92,8.97
1811,6.86,10.10
1812,7.05,8.58
1813,7.74,9.13
1814,7.59,7.93
1815,7.24,8.99
1816,6.94,7.98
1817,6.98,8.95
1818,7.83,9.88
1819,7.37,9.58
1820,7.62,8.61
1821,8.09,9.63
1822,8.19,10.36
1823,7.72,8.80
1824,8.55,9.65
1825,8.39,9.98
1826,8.36,10.12
1827,8.81,9.37
1828,8.17,10.10
1829,7.94,7.95
1830,8.52,8.78
1831,7.64,10.01
1832,7.45,9.24
1833,8.01,9.40
1834,8.15,10.59
1835,7.39,9.48
1836,7.70,9.04
1837,7.38,8.85
1838,7.51,8.05
1839,7.63,8.89
1840,7.80,8.68
1841,7.69,9.12
1842,8.02,9.43
1843,8.17,9.40
1844,7.65,8.85
1845,7.85,8.46
1846,8.55,10.48
1847,8.09,9.24
1848,7.98,9.52
1849,7.98,9.42
1850,7.90,9.06
1851,8.18,9.17
1852,8.10,9.96
1853,8.04,8.44
1854,8.21,9.30
1855,8.11,8.03
1856,8.00,9.17
1857,7.76,10.21
1858,8.10,9.20
1859,8.25,9.97
1860,7.96,8.17
1861,7.85,9.42
1862,7.56,9.56
1863,8.11,9.90
1864,7.98,8.74
1865,8.18,9.82
1866,8.29,9.69
1867,8.44,9.06
1868,8.25,10.50
1869,8.43,9.46
1870,8.20,8.94
1871,8.12,8.97
1872,8.19,10.07
1873,8.35,9.26
1874,8.43,9.37
1875,7.86,9.43
1876,8.08,9.75
1877,8.54,9.43
1878,8.83,9.47
1879,8.17,7.62
1880,8.12,9.35
1881,8.27,8.71
1882,8.13,9.43
1883,7.98,9.21
1884,7.77,9.86
1885,7.92,8.68
1886,7.95,8.80
1887,7.91,8.39
1888,8.09,8.31
1889,8.32,8.91
1890,7.97,8.86
1891,8.02,8.65
1892,8.07,8.35
1893,8.06,10.05
1894,8.16,9.42
1895,8.15,8.91
1896,8.21,9.41
1897,8.29,9.50
1898,8.18,10.08
1899,8.40,9.85
1900,8.50,9.73
1901,8.54,9.20
1902,8.30,8.95
1903,8.22,9.45
1904,8.09,9.18
1905,8.23,9.25
1906,8.38,9.62
1907,7.95,9.03
1908,8.19,9.31
1909,8.18,8.70
1910,8.22,9.39
1911,8.18,10.22
1912,8.17,9.57
1913,8.30,9.89
1914,8.59,9.98
1915,8.59,9.07
1916,8.23,9.28
1917,8.02,8.65
1918,8.13,9.60
1919,8.38,8.48
1920,8.36,9.67
1921,8.57,10.60
1922,8.41,8.81
1923,8.42,9.17
1924,8.51,9.34
1925,8.53,9.31
1926,8.73,9.83
1927,8.52,9.25
1928,8.63,9.69
1929,8.24,9.09
1930,8.63,9.70
1931,8.72,9.12
1932,8.71,9.57
1933,8.34,9.96
1934,8.63,10.11
1935,8.52,9.90
1936,8.55,9.43
1937,8.70,9.69
1938,8.86,10.18
1939,8.76,9.77
1940,8.76,9.06
1941,8.77,9.09
1942,8.73,9.10
1943,8.76,10.19
1944,8.85,9.62
1945,8.58,10.39
1946,8.68,9.58
1947,8.80,9.75
1948,8.75,10.16
1949,8.59,10.63
1950,8.37,9.75
1951,8.63,9.52
1952,8.64,9.35
1953,8.87,9.95
1954,8.56,9.35
1955,8.63,9.39
1956,8.28,8.87
1957,8.73,10.26
1958,8.77,9.66
1959,8.73,10.63
1960,8.58,9.88
1961,8.80,10.20
1962,8.75,8.65
1963,8.86,8.48
1964,8.41,9.53
1965,8.53,9.03
1966,8.60,9.59
1967,8.70,9.81
1968,8.52,9.48
1969,8.60,9.47
1970,8.70,9.69
1971,8.60,9.89
1972,8.50,9.41
1973,8.95,9.75
1974,8.47,9.70
1975,8.74,9.99
1976,8.35,10.28
1977,8.85,9.69
1978,8.69,9.41
1979,8.73,9.06
1980,8.98,9.54
1981,9.17,9.38
1982,8.64,10.07
1983,9.03,10.12
1984,8.69,9.75
1985,8.66,9.00
1986,8.83,8.94
1987,8.99,9.22
1988,9.20,9.82
1989,8.92,10.76
1990,9.23,10.94
1991,9.18,9.67
1992,8.84,10.15
1993,8.87,9.69
1994,9.04,10.48
1995,9.35,10.55
1996,9.04,9.27
1997,9.20,10.64
1998,9.52,10.40
1999,9.29,10.86
2000,9.20,10.52
2001,9.41,10.18
2002,9.57,10.91
2003,9.53,10.81
2004,9.32,10.77
2005,9.70,10.63
2006,9.53,11.10
2007,9.73,10.83
2008,9.43,10.38
2009,9.51,10.52
2010,9.70,9.38
2011,9.52,11.19
2012,9.51,10.00
2013,9.61,9.91
